gap,spec_group,claim_type,claim_count
0,a,v1,7243
0,a,v2,5594
0,a,v3,14804
0,a,v4,8835
0,a,v5,9541
0,a,v6,164
0,a,v7,2870
0,a,v8,1734
0,b,v6,241
0,b,v4,11249
0,b,v5,1510
0,c,v6,3686
0,c,v4,13762
0,c,v5,13690
0,d,v4,7592
0,d,v5,10410
0,d,v7,13841
0,d,v3,4423
0,e,v4,9984
0,e,v1,11404
0,e,v3,2179
0,e,v5,9458
0,e,v6,2829
0,f,v4,2595
0,f,v8,13928
0,f,v6,229
0,f,v3,10803
0,f,v5,12212
0,g,v4,4149
0,g,v5,5771
0,h,v5,14450
0,h,v7,9832
0,h,v6,3061
0,h,v4,2056
0,h,v1,12679
0,i,v2,7157
0,i,v4,942
0,i,v1,12045
0,i,v5,11136
0,i,v7,3330
0,i,v3,14134
0,j,v4,7105
0,j,v2,102
0,j,v6,571
0,j,v5,11701
0,j,v1,9471
0,k,v7,7562
0,k,v4,1234
0,k,v5,3507
0,k,v1,4003
0,k,v3,13405
0,k,v6,12531
1,a,v9,5027
1,a,v1,9174
1,a,v4,10245
1,a,v5,9878
1,a,v3,14054
1,b,v6,8449
1,b,v9,14475
1,b,v4,5198
1,b,v5,5579
1,b,v3,695
1,c,v6,11695
1,c,v5,7829
1,c,v4,10022
1,d,v5,10032
1,d,v3,11639
1,d,v4,1839
1,e,v1,3305
1,e,v6,61
1,e,v4,2336
1,e,v5,5134
1,e,v3,11025
1,f,v3,2054
1,f,v5,12529
1,f,v6,12314
1,f,v4,8691
1,f,v8,628
1,g,v4,9124
1,g,v3,7475
1,g,v5,8458
1,h,v3,5885
1,h,v4,7447
1,h,v1,6065
1,h,v5,12539
1,h,v9,9594
1,h,v7,3638
1,i,v5,8400
1,i,v6,6847
1,i,v1,5379
1,i,v4,12844
1,i,v3,7836
1,j,v6,10759
1,j,v1,11720
1,j,v4,6617
1,j,v5,3425
1,j,v2,8836
1,k,v5,12501
1,k,v9,3621
1,k,v4,4188
1,k,v8,3233
1,k,v6,13268
1,k,v1,2987
1,k,v7,7002
1,k,v3,8878
2,a,v9,3347
2,a,v1,3097
2,a,v3,13310
2,a,v5,8842
2,a,v7,791
2,a,v4,533
2,b,v5,8353
2,b,v4,14482
2,b,v1,6326
2,b,v6,4657
2,b,v3,6046
2,c,v5,3950
2,c,v4,7461
2,c,v3,1154
2,d,v5,6531
2,d,v4,11402
2,d,v3,2830
2,e,v4,2460
2,e,v5,7045
2,e,v3,10875
2,e,v1,4390
2,e,v6,5522
2,e,v9,14744
2,f,v6,3313
2,f,v3,11348
2,f,v4,3296
2,f,v5,5544
2,g,v7,5997
2,g,v9,1467
2,g,v5,4026
2,g,v3,617
2,g,v4,2629
2,g,v1,8692
2,h,v5,13031
2,h,v4,13602
2,h,v3,4356
2,h,v7,11536
2,i,v1,6258
2,i,v4,5247
2,i,v3,4796
2,i,v6,11560
2,i,v5,7237
2,j,v5,7341
2,j,v4,8293
2,j,v1,9321
2,k,v3,361
2,k,v7,8838
2,k,v1,10959
2,k,v4,14932
2,k,v9,3104
2,k,v5,765
2,k,v6,14518
3,a,v6,13005
3,a,v9,3214
3,a,v4,7328
3,a,v7,325
3,a,v5,1097
3,a,v3,7399
3,a,v1,8476
3,b,v3,942
3,b,v7,3201
3,b,v6,1089
3,b,v5,4390
3,b,v4,6281
3,b,v1,13720
3,c,v3,11649
3,c,v1,14262
3,c,v4,14771
3,c,v5,13434
3,c,v6,1295
3,d,v3,4396
3,d,v4,1281
3,d,v5,12601
3,e,v5,14994
3,e,v6,1846
3,e,v7,11759
3,e,v4,6533
3,e,v1,13893
3,f,v4,7951
3,f,v3,1189
3,f,v6,2121
3,f,v5,9424
3,g,v5,9161
3,g,v9,2514
3,g,v4,178
3,g,v3,1326
3,g,v1,9391
3,h,v7,9414
3,h,v4,2156
3,h,v5,4217
3,h,v1,306
3,i,v6,2192
3,i,v3,13469
3,i,v5,613
3,i,v1,4290
3,i,v4,6567
3,j,v4,11330
3,j,v5,4434
3,j,v1,5953
3,j,v3,14250
3,k,v5,1619
3,k,v3,13603
3,k,v9,7154
3,k,v4,9219
3,k,v1,3238
3,k,v6,12761
3,k,v7,4341
4,a,v5,4318
4,a,v3,11649
4,a,v6,2518
4,a,v1,14556
4,a,v4,14680
4,b,v5,3051
4,b,v3,3251
4,b,v6,2275
4,b,v4,12248
4,c,v4,8786
4,c,v3,451
4,c,v5,12713
4,d,v5,4764
4,d,v3,14454
4,d,v4,3992
4,d,v6,13829
4,e,v1,3475
4,e,v7,4322
4,e,v4,13753
4,e,v5,9926
4,e,v6,15000
4,f,v4,923
4,f,v6,9338
4,f,v5,1211
4,f,v3,2079
4,g,v4,11759
4,g,v1,5932
4,g,v3,10260
4,g,v5,10705
4,h,v7,5919
4,h,v5,11142
4,h,v4,12382
4,h,v3,9656
4,i,v6,5193
4,i,v3,6210
4,i,v5,14392
4,i,v1,14900
4,i,v4,9153
4,j,v4,14790
4,j,v1,3486
4,k,v6,1782
4,k,v5,4545
4,k,v1,214
4,k,v9,5701
4,k,v3,12230
4,k,v4,11907
4,k,v7,8888
5,a,v6,1395
5,a,v4,10094
5,a,v5,9762
5,a,v3,12072
5,a,v1,2007
5,b,v4,7653
5,b,v1,14395
5,b,v6,7238
5,b,v7,14373
5,b,v3,6653
5,b,v5,2490
5,c,v6,11535
5,c,v4,12877
5,c,v3,6373
5,c,v8,2085
5,c,v5,4243
5,d,v4,235
5,d,v5,9052
5,d,v6,135
5,d,v1,5418
5,d,v3,11988
5,e,v6,1634
5,e,v1,11764
5,e,v5,11312
5,e,v4,6981
5,f,v5,1430
5,f,v3,11835
5,f,v4,14046
5,f,v6,1062
5,g,v6,8114
5,g,v1,4626
5,g,v4,13644
5,g,v5,5420
5,g,v3,13841
5,h,v3,9167
5,h,v4,10314
5,h,v7,13664
5,h,v5,3549
5,i,v6,12373
5,i,v4,6577
5,i,v5,12176
5,i,v1,14632
5,j,v5,11278
5,j,v4,587
5,j,v3,1562
5,k,v3,3913
5,k,v6,8248
5,k,v1,635
5,k,v5,3468
5,k,v9,11033
5,k,v4,2302
5,k,v7,653
6,a,v6,2910
6,a,v1,8769
6,a,v4,1319
6,a,v3,5667
6,a,v5,1843
6,b,v4,5635
6,b,v5,11438
6,b,v6,9094
6,b,v3,609
6,c,v4,12225
6,c,v3,7012
6,c,v6,14315
6,c,v5,11795
6,d,v5,12027
6,d,v3,8244
6,d,v1,8287
6,d,v4,5647
6,e,v5,13984
6,e,v1,11784
6,e,v3,1072
6,e,v4,4902
6,e,v6,4326
6,f,v6,11164
6,f,v4,7714
6,f,v5,8907
6,g,v5,3566
6,g,v1,4088
6,g,v4,12109
6,g,v3,4087
6,h,v7,9694
6,h,v4,8115
6,h,v3,1442
6,h,v5,7149
6,i,v4,14761
6,i,v6,8965
6,i,v5,10035
6,i,v3,5343
6,i,v1,4084
6,k,v6,3553
6,k,v1,8015
6,k,v9,11889
6,k,v3,9390
6,k,v5,9567
6,k,v4,1868
6,k,v7,8106
7,a,v5,1538
7,a,v3,11692
7,a,v6,13212
7,a,v1,2379
7,a,v4,10332
7,b,v6,2228
7,b,v3,8207
7,b,v4,6509
7,b,v5,8832
7,b,v1,7854
7,c,v8,3700
7,c,v4,13904
7,c,v3,1287
7,c,v1,4813
7,c,v5,6057
7,c,v6,4137
7,d,v5,12740
7,d,v3,6094
7,d,v6,14245
7,d,v4,9720
7,d,v1,1600
7,e,v4,12222
7,e,v3,303
7,e,v5,6328
7,e,v6,3389
7,e,v1,6913
7,f,v4,4967
7,f,v3,9751
7,f,v6,13118
7,f,v5,9293
7,g,v5,10236
7,g,v4,14535
7,g,v3,14421
7,g,v1,11251
7,h,v5,7893
7,h,v1,13709
7,h,v4,629
7,h,v7,1100
7,h,v3,8279
7,i,v1,14350
7,i,v4,448
7,i,v6,10143
7,i,v5,10360
7,i,v3,2605
7,j,v3,2617
7,j,v2,12191
7,j,v5,12246
7,j,v6,7154
7,j,v4,3095
7,k,v5,13342
7,k,v9,9783
7,k,v1,11666
7,k,v8,9276
7,k,v6,5065
7,k,v7,671
7,k,v4,5957
7,k,v3,9990
8,a,v5,13752
8,a,v6,4913
8,a,v3,10462
8,a,v4,4153
8,a,v7,1644
8,a,v1,12603
8,b,v3,10192
8,b,v1,3597
8,b,v4,1909
8,b,v6,10332
8,b,v5,2312
8,c,v3,5770
8,c,v6,8974
8,c,v4,14098
8,c,v5,11977
8,d,v4,3707
8,d,v3,6505
8,d,v5,1076
8,e,v4,11577
8,e,v3,11438
8,e,v1,6436
8,e,v6,4663
8,e,v5,8043
8,f,v4,1466
8,f,v5,1910
8,f,v6,2258
8,g,v1,14383
8,g,v4,98
8,g,v5,10
8,g,v6,13472
8,g,v3,13779
8,h,v1,2029
8,h,v7,5921
8,h,v4,9348
8,h,v5,12068
8,h,v3,10746
8,h,v6,8826
8,i,v4,209
8,i,v3,14544
8,i,v1,7351
8,i,v6,9438
8,i,v5,13419
8,j,v3,8225
8,j,v6,2668
8,j,v2,3734
8,j,v1,9411
8,j,v5,7692
8,j,v4,7900
8,k,v1,9261
8,k,v6,9634
8,k,v5,11753
8,k,v9,9045
8,k,v3,517
8,k,v4,12083
8,k,v7,7499
9,a,v7,12718
9,a,v4,9859
9,a,v3,12391
9,a,v1,1222
9,a,v5,2362
9,a,v6,14599
9,b,v4,9715
9,b,v5,9103
9,b,v1,3631
9,b,v7,13982
9,b,v3,12011
9,b,v6,13246
9,c,v1,13577
9,c,v5,2470
9,c,v6,8495
9,c,v3,6709
9,c,v4,2580
9,d,v3,2662
9,d,v1,327
9,d,v4,12245
9,d,v5,1179
9,e,v4,10117
9,e,v6,8920
9,e,v1,12489
9,e,v7,5078
9,e,v5,1300
9,e,v3,737
9,f,v6,12477
9,f,v4,9452
9,f,v5,5992
9,g,v1,8427
9,g,v4,3087
9,g,v5,1726
9,g,v3,812
9,h,v5,6197
9,h,v7,11946
9,h,v1,6254
9,h,v4,1394
9,h,v3,8734
9,i,v3,3193
9,i,v1,13298
9,i,v6,2219
9,i,v7,14256
9,i,v4,13973
9,i,v5,14410
9,j,v3,14745
9,j,v5,5968
9,k,v8,5429
9,k,v4,5139
9,k,v5,8953
9,k,v3,6975
9,k,v6,383
9,k,v7,4712
9,k,v1,6178
9,k,v9,5092
10,a,v5,8514
10,a,v6,9827
10,a,v1,4282
10,a,v3,752
10,a,v4,716
10,b,v5,4886
10,b,v6,13984
10,b,v3,10132
10,b,v1,12500
10,b,v4,9315
10,c,v6,8980
10,c,v1,442
10,c,v5,7109
10,c,v3,2555
10,c,v4,8774
10,d,v6,9341
10,d,v3,7675
10,d,v5,10696
10,d,v4,114
10,d,v1,11318
10,e,v1,2704
10,e,v6,7275
10,e,v4,4000
10,e,v5,3239
10,f,v4,696
10,f,v3,12685
10,f,v6,9861
10,f,v5,6894
10,g,v3,3861
10,g,v1,3920
10,g,v4,6045
10,g,v5,12716
10,g,v6,11222
10,h,v5,13594
10,h,v3,10311
10,h,v4,10599
10,h,v7,11023
10,i,v1,1481
10,i,v4,9112
10,i,v5,8145
10,i,v3,8506
10,i,v6,4617
10,j,v4,13771
10,j,v6,1898
10,j,v3,1600
10,j,v5,4972
10,k,v4,1501
10,k,v7,14634
10,k,v3,12888
10,k,v5,8037
10,k,v1,6200
10,k,v6,1240
10,k,v8,3127
11,a,v4,9770
11,a,v6,9066
11,a,v3,875
11,a,v5,7556
11,a,v1,4277
11,b,v5,3964
11,b,v4,8952
11,b,v3,14713
11,b,v1,13193
11,b,v9,8707
11,b,v6,10640
11,c,v4,6042
11,c,v5,14214
11,c,v1,5166
11,c,v6,5082
11,c,v3,9615
11,d,v1,7258
11,d,v3,10111
11,d,v5,14288
11,d,v4,3790
11,d,v6,7708
11,e,v9,5375
11,e,v6,14362
11,e,v3,4256
11,e,v5,12650
11,e,v4,13670
11,e,v1,6232
11,f,v6,12946
11,f,v5,7439
11,f,v3,13830
11,f,v4,2733
11,g,v3,4321
11,g,v6,14378
11,g,v5,12839
11,g,v4,9416
11,g,v1,10597
11,g,v9,13486
11,h,v5,11655
11,h,v4,5065
11,h,v1,2855
11,h,v6,12048
11,h,v3,5788
11,h,v7,10136
11,i,v3,8727
11,i,v5,14010
11,i,v1,5258
11,i,v6,11213
11,i,v4,10381
11,j,v6,13079
11,j,v1,2540
11,j,v4,4384
11,j,v5,13444
11,j,v3,7032
11,k,v8,13078
11,k,v4,5457
11,k,v7,2279
11,k,v6,3304
11,k,v1,13364
11,k,v5,4258
11,k,v3,1124
11,k,v9,13973
12,a,v1,14703
12,a,v6,7509
12,a,v4,596
12,a,v3,1462
12,a,v9,8977
12,a,v5,10581
12,b,v1,127
12,b,v3,3400
12,b,v6,1890
12,b,v4,13388
12,b,v5,13473
12,c,v3,8621
12,c,v6,2636
12,c,v5,6588
12,c,v1,13086
12,c,v4,11596
12,d,v4,2434
12,d,v3,10529
12,d,v1,12442
12,d,v5,4298
12,e,v4,5407
12,e,v3,7179
12,e,v1,7407
12,e,v6,963
12,e,v5,2845
12,f,v5,10850
12,f,v6,7221
12,f,v3,2943
12,f,v4,6314
12,g,v5,13230
12,g,v1,919
12,g,v4,12014
12,g,v3,13487
12,h,v4,1962
12,h,v7,13285
12,h,v5,11029
12,h,v1,12575
12,h,v3,731
12,i,v5,2891
12,i,v1,998
12,i,v6,823
12,i,v7,3506
12,i,v3,4680
12,i,v4,12041
12,j,v1,13755
12,j,v6,11287
12,j,v4,2619
12,j,v3,622
12,j,v5,12346
12,j,v2,13049
12,k,v9,4889
12,k,v4,3627
12,k,v5,5363
12,k,v8,8992
12,k,v3,11518
12,k,v1,3276
12,k,v6,6416
12,k,v7,13927
13,a,v3,5459
13,a,v6,3534
13,a,v4,6220
13,a,v1,4427
13,a,v5,2038
13,b,v4,5640
13,b,v6,4105
13,b,v3,1042
13,b,v5,12056
13,b,v1,13029
13,c,v6,3600
13,c,v1,253
13,c,v5,195
13,c,v4,6787
13,c,v3,5413
13,d,v4,10405
13,d,v1,5092
13,d,v3,6095
13,d,v6,2884
13,d,v5,9908
13,e,v5,14173
13,e,v6,1387
13,e,v4,8086
13,e,v3,14455
13,e,v1,4808
13,f,v6,13228
13,f,v5,13206
13,f,v4,5133
13,g,v3,2235
13,g,v6,4008
13,g,v4,14857
13,g,v5,11792
13,g,v1,8809
13,h,v3,6493
13,h,v4,14103
13,h,v6,1897
13,h,v1,6225
13,h,v5,3783
13,h,v7,10254
13,i,v1,4079
13,i,v6,5817
13,i,v5,1314
13,i,v3,3965
13,i,v4,12513
13,j,v5,12787
13,j,v3,11631
13,j,v6,2244
13,j,v4,14790
13,k,v7,13179
13,k,v5,13724
13,k,v6,2096
13,k,v4,194
13,k,v9,14890
13,k,v1,10528
13,k,v3,4543
13,k,v8,14077
14,a,v7,5893
14,a,v3,7005
14,a,v4,3578
14,a,v1,11832
14,a,v5,3683
14,a,v6,9469
14,b,v4,1676
14,b,v6,14565
14,b,v1,1479
14,b,v5,2413
14,b,v3,2467
14,c,v1,2708
14,c,v5,7029
14,c,v6,11980
14,c,v3,7556
14,c,v4,2447
14,d,v5,5155
14,d,v4,11437
14,d,v1,12352
14,d,v3,10614
14,e,v6,8596
14,e,v3,4383
14,e,v4,9358
14,e,v5,4248
14,e,v1,6975
14,f,v5,4501
14,f,v4,13609
14,f,v6,7130
14,f,v3,5634
14,g,v4,13529
14,g,v1,13633
14,g,v3,1761
14,g,v5,10553
14,g,v6,9726
14,h,v3,7029
14,h,v4,11773
14,h,v7,5355
14,h,v1,3175
14,h,v6,1310
14,h,v5,13207
14,i,v6,13056
14,i,v3,809
14,i,v7,3736
14,i,v5,11712
14,i,v4,388
14,i,v1,3240
14,j,v1,7494
14,j,v3,7094
14,j,v2,2131
14,j,v6,4035
14,j,v5,6676
14,j,v4,11391
14,k,v7,14847
14,k,v3,11835
14,k,v5,12260
14,k,v4,226
14,k,v9,13767
14,k,v6,12953
14,k,v1,2678
15,a,v4,3337
15,a,v7,5090
15,a,v3,5297
15,a,v1,13994
15,a,v5,5313
15,a,v6,5221
15,b,v1,6493
15,b,v4,6157
15,b,v5,5610
15,b,v6,8489
15,b,v3,8674
15,c,v6,14326
15,c,v3,1936
15,c,v5,5926
15,c,v4,7793
15,c,v1,6217
15,d,v1,2669
15,d,v4,7191
15,d,v5,9081
15,d,v3,13926
15,e,v4,4822
15,e,v6,10894
15,e,v5,11066
15,e,v3,8052
15,e,v1,1172
15,f,v4,11352
15,f,v6,1196
15,f,v5,6132
15,f,v8,342
15,g,v4,11439
15,g,v1,9793
15,g,v6,1306
15,g,v5,9264
15,g,v3,14700
15,h,v4,3583
15,h,v6,12926
15,h,v5,778
15,h,v3,6108
15,h,v7,9108
15,h,v1,6919
15,i,v3,2037
15,i,v6,2360
15,i,v1,11822
15,i,v4,8706
15,i,v5,14905
15,j,v1,9273
15,j,v6,11488
15,j,v3,2871
15,j,v5,11645
15,j,v4,625
15,k,v1,844
15,k,v5,11617
15,k,v3,5022
15,k,v6,8820
15,k,v4,9145
15,k,v8,1509
16,a,v3,1871
16,a,v4,2161
16,a,v6,3858
16,a,v1,13751
16,a,v5,8326
16,b,v5,6072
16,b,v3,6241
16,b,v6,7614
16,b,v4,10649
16,b,v7,2059
16,b,v1,6889
16,c,v4,2201
16,c,v3,6400
16,c,v5,6810
16,c,v6,9896
16,c,v1,79
16,c,v8,10696
16,d,v3,2170
16,d,v5,1159
16,d,v1,3932
16,d,v4,13374
16,d,v6,514
16,e,v6,7352
16,e,v4,539
16,e,v3,7957
16,e,v1,10127
16,e,v5,12920
16,f,v4,4777
16,f,v5,3214
16,f,v6,5801
16,g,v7,6999
16,g,v3,5822
16,g,v4,901
16,g,v5,14952
16,g,v1,10562
16,h,v5,9887
16,h,v3,5574
16,h,v7,8448
16,h,v1,12094
16,h,v4,7631
16,i,v6,14274
16,i,v3,9364
16,i,v1,12313
16,i,v5,731
16,i,v4,6507
16,j,v5,4700
16,j,v6,9878
16,j,v2,427
16,j,v3,13861
16,j,v1,14346
16,j,v4,10767
16,k,v3,5388
16,k,v1,1819
16,k,v5,4489
16,k,v7,14937
16,k,v6,3303
16,k,v4,419
17,a,v4,14926
17,a,v3,234
17,a,v5,5016
17,a,v6,1410
17,a,v1,6690
17,b,v5,10854
17,b,v7,2255
17,b,v1,6682
17,b,v6,3269
17,b,v4,5014
17,b,v3,3733
17,c,v6,4277
17,c,v3,8614
17,c,v8,9003
17,c,v5,10550
17,c,v1,8427
17,c,v4,8974
17,d,v5,8815
17,d,v1,4651
17,d,v3,12273
17,d,v6,8013
17,d,v4,12874
17,e,v5,14008
17,e,v1,1151
17,e,v3,2864
17,e,v6,13387
17,e,v4,12387
17,f,v5,6289
17,f,v1,8244
17,f,v6,12454
17,f,v4,13231
17,f,v3,7575
17,f,v8,11857
17,g,v3,13822
17,g,v5,10182
17,g,v4,1937
17,g,v1,7829
17,h,v6,11069
17,h,v3,13460
17,h,v4,6737
17,h,v5,1441
17,h,v7,13348
17,h,v1,3430
17,i,v5,3539
17,i,v1,8257
17,i,v3,4265
17,i,v4,7938
17,i,v7,4498
17,i,v6,11996
17,j,v5,9361
17,j,v1,8666
17,j,v4,1774
17,j,v2,14455
17,j,v6,4872
17,j,v3,3264
17,k,v7,9574
17,k,v3,13900
17,k,v9,10275
17,k,v1,8846
17,k,v4,7707
17,k,v6,8869
17,k,v5,5664
18,a,v3,11830
18,a,v4,11303
18,a,v5,7595
18,a,v1,9031
18,a,v6,7795
18,b,v3,8251
18,b,v4,1009
18,b,v1,8633
18,b,v6,13042
18,b,v5,5066
18,c,v6,9397
18,c,v5,10114
18,c,v4,13991
18,c,v3,13917
18,c,v1,6096
18,d,v5,14573
18,d,v4,510
18,d,v3,10848
18,d,v6,11055
18,d,v1,14270
18,e,v1,13153
18,e,v6,8006
18,e,v9,2006
18,e,v3,2368
18,e,v4,5500
18,e,v5,4078
18,f,v6,6235
18,f,v5,12710
18,f,v3,11919
18,f,v4,7611
18,g,v6,5056
18,g,v4,5431
18,g,v5,11492
18,g,v1,7259
18,g,v3,7203
18,h,v5,12917
18,h,v3,8927
18,h,v7,3859
18,h,v1,7324
18,h,v4,10405
18,h,v6,11893
18,i,v1,4725
18,i,v4,13201
18,i,v3,13215
18,i,v5,11053
18,i,v6,11793
18,j,v3,11777
18,j,v4,7713
18,j,v1,6787
18,j,v6,5387
18,j,v2,186
18,j,v5,5700
18,k,v9,2960
18,k,v6,11276
18,k,v3,8641
18,k,v4,2552
18,k,v1,3638
18,k,v5,3210
18,k,v7,14131
19,a,v1,2662
19,a,v4,3677
19,a,v3,12761
19,a,v6,7803
19,a,v5,7899
19,b,v3,7518
19,b,v6,14981
19,b,v4,2152
19,b,v1,8093
19,b,v5,3523
19,c,v3,9400
19,c,v1,5455
19,c,v5,4602
19,c,v6,614
19,c,v4,4482
19,d,v1,2776
19,d,v3,5181
19,d,v5,10402
19,d,v4,12231
19,e,v1,199
19,e,v6,1316
19,e,v4,9320
19,e,v3,8638
19,e,v5,7185
19,f,v4,3634
19,f,v6,8129
19,f,v5,17
19,f,v3,6471
19,g,v4,1346
19,g,v5,14558
19,g,v1,7782
19,g,v3,14981
19,g,v9,8328
19,g,v6,12082
19,h,v4,5678
19,h,v3,2451
19,h,v1,7079
19,h,v7,7050
19,h,v5,8622
19,i,v4,14416
19,i,v6,2011
19,i,v3,2721
19,i,v1,11757
19,i,v5,2821
19,j,v3,4458
19,j,v5,3283
19,j,v1,1838
19,j,v6,8178
19,j,v4,5936
19,j,v2,11864
19,k,v1,6436
19,k,v4,5639
19,k,v3,2683
19,k,v6,4245
19,k,v7,14627
19,k,v5,4329
20,a,v1,7845
20,a,v6,13458
20,a,v5,14999
20,a,v3,552
20,a,v4,10713
20,b,v6,1366
20,b,v5,4059
20,b,v3,197
20,b,v7,214
20,b,v4,14946
20,b,v1,14407
20,c,v6,2446
20,c,v3,1818
20,c,v1,2877
20,c,v4,2226
20,c,v5,11521
20,d,v3,2298
20,d,v5,8504
20,d,v4,6405
20,d,v6,9628
20,d,v1,3559
20,e,v3,6469
